한글 이름,영문 이름,제품 설명,제품 영양 정보,1회 제공량(kcal),포화지방(g),단백질(g),지방(g),트랜스지방(g),나트륨(mg),당류(g),카페인(mg),콜레스테롤(mg),탄수화물(g)
나이트로 바닐라 크림,Nitro Vanilla Cream,부드러운 목넘김의 나이트로 커피와 바닐라 크림의 매력을 한번에 느껴보세요!,Tall(톨) /355ml,80,2,1,2.7,0,40,10,232,5,10
나이트로 콜드 브루,Nitro Cold Brew,(나이트로 콜드 브루 매장 한정)나이트로 커피 정통의 캐스케이딩과 부드러운 콜드 크레마!부드러운 목 넘김과 완벽한 밸런스에 커피 본연의 단맛을 경험할 수 있습니다.,Tall(톨) /355ml,5,0,0,0,0,5,0,245,0,0
돌체 콜드 브루,Dolce Cold Brew,"무더운 여름철,동남아 휴가지에서 즐기는 커피를 떠오르게 하는스타벅스 음료의 베스트 x 베스트 조합인돌체 콜드 브루를 만나보세요!",Tall(톨) /355ml,220,6,6,10,0,80,22,155,20,24
리저브 나이트로,Reserve Nitro,나이트로 커피 정통의 캐스케이딩과 부드러운 콜드 크레마!부드러운 목 넘김과 완벽한 밸런스에 커피 본연의 단맛을 경험할 수 있습니다.,Tall(톨) /355ml,5,0,0,0,0,0,0,190,0,0
리저브 콜드 브루,Reserve Cold Brew,리저브 커피 마스터의 정성으로 차갑게 추출한 깊고 부드러운 풍미의 커피,Tall(톨) /355ml,5,0,0,0,0,0,0,190,0,0
막걸리향 크림 콜드 브루,Rice Cream Cold Brew,"산에서 만날 수 있는 특별한 경험을 모티브로해 달콤, 향긋한 비알코올 막걸리 향 크림과 고소한 쌀 토핑으로 즐길 수 있는 콜드 브루",Tall(톨) /355ml,300,13,3,16,0,65,32,53,10,35
민트 콜드 브루,Mint Cold Brew,상쾌한 민트향 시럽과 잘게 갈린 얼음이어우러져 시원함이 강렬하게 느껴지는 리저브만의콜드 브루 음료,Grande(그란데) /473ml,100,0,0,0,0,0,23,415,0,24
바닐라 크림 콜드 브루,Vanilla Cream Cold Brew,콜드 브루에 더해진 바닐라 크림으로 깔끔하면서 달콤한 콜드 브루를 새롭게 즐길 수 있는 음료입니다.,Tall(톨) /355ml,125,6,3,8,0,58,11,155,10,11
베르가못 콜드 브루,Bergamot Cold Brew,은은하게 퍼지는 플로럴 향과 베르가못의 화사하고 우아한 시트러스 맛이 느껴지는 부드러운 콜드 브루,,125,1.7,3,2.9,0,45,22,90,10,22
블랙&화이트 콜드 브루,Black&White Cold Brew,리저브 콜드 브루와 하우스 메이드 바닐라 빈 크림이 어우러진 아인슈페너 음료,Tall(톨) /355ml,175,12,1,14,0,70,12,190,5,12
